ID,Event,Medal
82763,Handball Women's Handball,Bronze
82900,Athletics Women's 400 metres Hurdles,Gold
82902,Taekwondo Men's Welterweight,Silver
83359,Rowing Men's Coxed Eights,Silver
83514,Athletics Men's 800 metres,Bronze
83534,Volleyball Women's Volleyball,Bronze
83545,Swimming Men's 100 metres Backstroke,Gold
83545,Swimming Men's 200 metres Backstroke,Gold
83545,Swimming Men's 4 x 100 metres Medley Relay,Gold
83571,Rowing Men's Coxless Pairs,Gold
83692,Rowing Women's Coxed Eights,Gold
83715,Gymnastics Women's Individual All-Around,Bronze
83715,Gymnastics Women's Team All-Around,Silver
83715,Gymnastics Women's Uneven Bars,Gold
84014,Gymnastics Men's Pommelled Horse,Bronze
84138,Gymnastics Men's Team All-Around,Silver
84527,Handball Men's Handball,Silver
84598,Rowing Men's Coxless Fours,Gold
84776,Basketball Men's Basketball,Bronze
84802,"Wrestling Men's Welterweight, Freestyle",Bronze
84850,Athletics Men's Hammer Throw,Gold
84943,Basketball Women's Basketball,Silver
84965,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
84971,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
85029,Basketball Men's Basketball,Silver
85141,Athletics Women's 4 x 100 metres Relay,Bronze
85554,Athletics Men's 4 x 400 metres Relay,Bronze
85631,Handball Men's Handball,Silver
85778,Taekwondo Women's Welterweight,Silver
85808,Basketball Women's Basketball,Silver
86018,Handball Men's Handball,Gold
86020,Swimming Women's 4 x 100 metres Medley Relay,Bronze
86104,Rowing Men's Lightweight Coxless Fours,Gold
86217,Boxing Men's Bantamweight,Bronze
86268,Volleyball Women's Volleyball,Silver
86469,Handball Women's Handball,Silver
86589,Boxing Men's Light-Heavyweight,Silver
86595,Athletics Women's 800 metres,Silver
87235,Athletics Men's Hammer Throw,Bronze
87255,Handball Men's Handball,Gold
87552,Handball Men's Handball,Silver
87584,Handball Women's Handball,Silver
87710,Rowing Women's Lightweight Double Sculls,Silver
87792,"Athletics Women's 5,000 metres",Silver
87890,Swimming Women's 200 metres Individual Medley,Silver
87939,Rowing Men's Coxed Eights,Silver
87962,Rowing Men's Lightweight Double Sculls,Silver
87963,Rowing Men's Lightweight Double Sculls,Silver
88115,Handball Women's Handball,Bronze
88185,Volleyball Women's Volleyball,Silver
88237,Taekwondo Women's Welterweight,Gold
88316,Athletics Women's 4 x 400 metres Relay,Bronze
88461,Swimming Women's 10 kilometres Open Water,Bronze
88474,Athletics Women's 4 x 400 metres Relay,Gold
88651,Swimming Women's 100 metres Freestyle,Gold
88651,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
88651,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
88651,Swimming Women's 100 metres Butterfly,Silver
88788,Swimming Men's 10 kilometres Open Water,Bronze
88896,Handball Men's Handball,Gold
89072,Handball Men's Handball,Silver
89216,Athletics Women's 4 x 400 metres Relay,Bronze
89300,Rowing Women's Coxed Eights,Bronze
89553,Athletics Men's 110 metres Hurdles,Silver
89927,"Wrestling Men's Featherweight, Greco-Roman",Silver
90004,Swimming Women's 4 x 100 metres Medley Relay,Bronze
90085,Taekwondo Men's Welterweight,Bronze
90122,Boxing Men's Lightweight,Silver
90133,Boxing Women's Flyweight,Silver
90179,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
90447,Swimming Men's 4 x 100 metres Medley Relay,Bronze
90547,Basketball Women's Basketball,Bronze
90729,Basketball Women's Basketball,Silver
90906,"Swimming Men's 1,500 metres Freestyle",Gold
90936,Rowing Women's Lightweight Double Sculls,Bronze
91878,Basketball Women's Basketball,Silver
91887,Gymnastics Women's Team All-Around,Silver
91887,Gymnastics Women's Horse Vault,Silver
92193,Rowing Women's Lightweight Double Sculls,Gold
92529,Swimming Men's 100 metres Breaststroke,Gold
92529,Swimming Men's 4 x 100 metres Medley Relay,Silver
92669,Swimming Women's 4 x 100 metres Medley Relay,Bronze
92787,Handball Men's Handball,Bronze
93475,Athletics Women's Discus Throw,Gold
94043,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
94066,Rowing Women's Coxed Eights,Bronze
94094,Gymnastics Men's Rings,Gold
94139,Handball Women's Handball,Gold
94165,Basketball Women's Basketball,Bronze
94406,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
94406,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
94406,Swimming Men's 100 metres Butterfly,Silver
94406,Swimming Men's 200 metres Butterfly,Gold
94406,Swimming Men's 200 metres Individual Medley,Gold
94406,Swimming Men's 4 x 100 metres Medley Relay,Gold
94426,Athletics Women's 4 x 100 metres Relay,Bronze
94549,Volleyball Men's Volleyball,Silver
94653,Taekwondo Men's Flyweight,Bronze
94713,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
94948,Handball Women's Handball,Silver
95532,Swimming Men's 100 metres Backstroke,Bronze
95532,Swimming Men's 4 x 100 metres Medley Relay,Gold
95862,Rowing Women's Coxed Eights,Gold
96123,Rowing Women's Coxed Eights,Bronze
96211,Volleyball Women's Volleyball,Silver
96287,Handball Men's Handball,Silver
96466,Boxing Women's Lightweight,Bronze
96614,Athletics Men's 4 x 100 metres Relay,Gold
96858,Swimming Men's 200 metres Breaststroke,Silver
96957,Volleyball Men's Volleyball,Bronze
97242,Handball Women's Handball,Silver
97745,"Wrestling Men's Heavyweight, Freestyle",Silver
97884,Basketball Women's Basketball,Silver
98057,Boxing Men's Welterweight,Bronze
98178,Basketball Women's Basketball,Bronze
98227,Basketball Men's Basketball,Silver
98343,"Wrestling Men's Featherweight, Freestyle",Bronze
98419,Rowing Men's Lightweight Coxless Fours,Bronze
98437,Gymnastics Women's Individual All-Around,Silver
98437,Gymnastics Women's Team All-Around,Gold
98437,Gymnastics Women's Floor Exercise,Silver
98448,Rowing Men's Quadruple Sculls,Bronze
98669,Boxing Men's Bantamweight,Gold
98692,"Wrestling Men's Welterweight, Freestyle",Gold
98886,Rowing Men's Coxed Eights,Gold
98982,Volleyball Women's Volleyball,Silver
99021,Rowing Women's Coxless Pairs,Bronze
99523,Rowing Men's Coxed Eights,Gold
99538,Athletics Women's Long Jump,Silver
99568,Rowing Women's Coxed Eights,Gold
99679,Handball Men's Handball,Bronze
99780,Rowing Men's Coxed Eights,Silver
99913,Boxing Women's Flyweight,Bronze
100032,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
100219,Basketball Men's Basketball,Bronze
100289,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
100351,Gymnastics Men's Horse Vault,Gold
100714,Handball Women's Handball,Bronze
101070,Rowing Men's Double Sculls,Silver
101273,Athletics Women's Discus Throw,Silver
101292,Athletics Men's 4 x 400 metres Relay,Gold
101298,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
101454,Volleyball Women's Volleyball,Bronze
101660,Athletics Men's 4 x 100 metres Relay,Bronze
101810,Basketball Women's Basketball,Silver
101829,Boxing Men's Middleweight,Bronze
101854,Basketball Men's Basketball,Bronze
101889,Rowing Men's Coxed Eights,Bronze
102024,Athletics Men's Javelin Throw,Gold
102089,Athletics Women's Triple Jump,Silver
102175,Athletics Women's 100 metres Hurdles,Gold
102321,Basketball Women's Basketball,Silver
102779,Volleyball Men's Volleyball,Silver
103209,Basketball Men's Basketball,Bronze
103225,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
103225,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
103274,Athletics Men's 800 metres,Gold
103490,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
103528,Athletics Men's Marathon,Bronze
103595,Volleyball Men's Volleyball,Bronze
103597,Athletics Men's 4 x 400 metres Relay,Bronze
103686,Athletics Men's Long Jump,Bronze
103877,Swimming Men's 200 metres Backstroke,Bronze
103888,Athletics Women's Triple Jump,Bronze
103994,Volleyball Men's Volleyball,Gold
104166,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
104327,Boxing Men's Middleweight,Bronze
104355,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
104486,Swimming Men's 200 metres Butterfly,Silver
105311,Volleyball Men's Volleyball,Bronze
105802,"Wrestling Men's Heavyweight, Freestyle",Bronze
105974,Rowing Men's Coxed Eights,Gold
106100,Rowing Men's Coxed Eights,Silver
106188,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
106301,Boxing Men's Heavyweight,Bronze
106423,Rowing Men's Coxless Fours,Gold
106646,Gymnastics Women's Uneven Bars,Bronze
106907,Athletics Women's 200 metres,Silver
107024,Rowing Women's Coxed Eights,Gold
107069,Rowing Women's Quadruple Sculls,Gold
107131,Rowing Men's Coxed Eights,Silver
107185,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
107185,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
107434,Rowing Men's Quadruple Sculls,Gold
107436,Swimming Men's 100 metres Butterfly,Gold
107703,Rowing Men's Quadruple Sculls,Gold
107750,Rowing Men's Lightweight Coxless Fours,Gold
107993,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
107993,Swimming Men's 4 x 100 metres Medley Relay,Silver
108041,Rowing Women's Coxless Pairs,Silver
108186,Handball Women's Handball,Gold
108198,Swimming Women's 4 x 100 metres Medley Relay,Silver
108532,Athletics Women's 800 metres,Gold
108579,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
108586,Handball Women's Handball,Gold
108960,Swimming Men's 400 metres Individual Medley,Bronze
109062,"Wrestling Men's Welterweight, Freestyle",Silver
109169,Boxing Women's Middleweight,Bronze
109218,Gymnastics Women's Team All-Around,Bronze
109676,Swimming Women's 200 metres Breaststroke,Bronze
109724,Boxing Women's Middleweight,Gold
109727,Swimming Men's 4 x 100 metres Medley Relay,Gold
109869,Gymnastics Men's Team All-Around,Gold
109869,Gymnastics Men's Horse Vault,Bronze
109967,Volleyball Men's Volleyball,Bronze
109968,Volleyball Men's Volleyball,Bronze
110265,Rowing Men's Coxed Eights,Bronze
110718,Rowing Women's Coxed Eights,Gold
110840,Basketball Men's Basketball,Silver
111288,"Wrestling Women's Featherweight, Freestyle",Bronze
111300,Rowing Men's Double Sculls,Gold
111301,Rowing Men's Double Sculls,Gold
111358,Taekwondo Men's Heavyweight,Bronze
111543,Swimming Women's 100 metres Freestyle,Bronze
111543,Swimming Women's 200 metres Freestyle,Silver
111543,Swimming Women's 100 metres Butterfly,Gold
111995,Athletics Women's 400 metres Hurdles,Silver
112220,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
112232,Volleyball Men's Volleyball,Bronze
112334,Swimming Women's 400 metres Freestyle,Bronze
112334,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
112342,Gymnastics Men's Pommelled Horse,Silver
112475,Swimming Women's 4 x 100 metres Medley Relay,Gold
112592,Rowing Women's Coxed Eights,Gold
112593,"Wrestling Men's Heavyweight, Freestyle",Gold
112872,Handball Women's Handball,Bronze
112904,Rowing Men's Lightweight Coxless Fours,Bronze
113243,Handball Men's Handball,Silver
113381,Boxing Men's Light-Welterweight,Silver
113389,Volleyball Men's Volleyball,Silver
113486,Volleyball Men's Volleyball,Gold
113499,Volleyball Men's Volleyball,Gold
113553,Handball Men's Handball,Gold
113674,Athletics Women's Long Jump,Bronze
113763,Athletics Women's 400 metres Hurdles,Bronze
113892,Gymnastics Women's Team All-Around,Silver
113946,Athletics Women's Javelin Throw,Bronze
113991,Rowing Women's Quadruple Sculls,Bronze
114078,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
114079,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
114160,"Wrestling Women's Flyweight, Freestyle",Silver
114347,Basketball Women's Basketball,Bronze
114367,Rowing Women's Coxless Pairs,Gold
114644,"Wrestling Men's Welterweight, Greco-Roman",Gold
114658,Athletics Women's Pole Vault,Gold
114826,Gymnastics Women's Horse Vault,Bronze
115059,Volleyball Women's Volleyball,Silver
115113,Boxing Men's Bantamweight,Silver
115132,Basketball Women's Basketball,Gold
115246,Basketball Men's Basketball,Silver
115459,Rowing Women's Single Sculls,Silver
115643,Rowing Men's Lightweight Double Sculls,Bronze
115717,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
115758,Gymnastics Men's Team All-Around,Silver
115796,Handball Men's Handball,Bronze
115883,Rowing Women's Coxed Eights,Bronze
116165,Handball Women's Handball,Gold
116424,Athletics Women's Marathon,Gold
116504,"Wrestling Women's Flyweight, Freestyle",Bronze
116505,Swimming Men's 200 metres Freestyle,Gold
116505,Swimming Men's 400 metres Freestyle,Silver
116859,Handball Men's Handball,Gold
117068,Rowing Women's Coxed Eights,Silver
117258,Rowing Men's Single Sculls,Bronze
117302,"Wrestling Women's Light-Heavyweight, Freestyle",Bronze
117835,Rowing Men's Quadruple Sculls,Bronze
118133,Athletics Men's 50 kilometres Walk,Silver
118268,Gymnastics Women's Team All-Around,Bronze
118359,Gymnastics Men's Team All-Around,Gold
118509,"Athletics Men's 10,000 metres",Silver
118702,"Wrestling Men's Featherweight, Greco-Roman",Bronze
118720,Taekwondo Women's Welterweight,Bronze
118778,Basketball Women's Basketball,Gold
118870,Athletics Men's Triple Jump,Gold
119198,Basketball Men's Basketball,Silver
119559,Athletics Women's Heptathlon,Bronze
119631,Athletics Women's Heptathlon,Gold
119662,Rowing Women's Quadruple Sculls,Gold
119895,Volleyball Women's Volleyball,Bronze
119903,Athletics Women's 100 metres,Gold
119903,Athletics Women's 200 metres,Gold
119903,Athletics Women's 4 x 100 metres Relay,Silver
119932,Basketball Men's Basketball,Gold
120074,Rowing Women's Double Sculls,Silver
120312,Athletics Men's Hammer Throw,Silver
120388,Swimming Men's 100 metres Freestyle,Silver
120443,Gymnastics Women's Floor Exercise,Bronze
120511,Boxing Men's Heavyweight,Gold
120780,"Athletics Men's 10,000 metres",Bronze
121237,Basketball Women's Basketball,Silver
121345,"Wrestling Women's Flyweight, Freestyle",Gold
121412,Athletics Men's 50 kilometres Walk,Gold
121635,Rowing Men's Lightweight Coxless Fours,Gold
121915,Rowing Men's Coxed Eights,Gold
122093,Volleyball Men's Volleyball,Bronze
122530,Rowing Men's Double Sculls,Bronze
122563,Boxing Men's Heavyweight,Bronze
122609,Athletics Men's 400 metres Hurdles,Silver
122858,Gymnastics Women's Team All-Around,Silver
123056,Gymnastics Men's Individual All-Around,Gold
123056,Gymnastics Men's Team All-Around,Gold
123195,Rowing Men's Coxed Eights,Bronze
123871,Rowing Women's Double Sculls,Bronze
123925,Boxing Women's Flyweight,Bronze
124348,Swimming Men's 100 metres Breaststroke,Silver
124731,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
124804,Athletics Men's 400 metres,Gold
124886,Swimming Women's 10 kilometres Open Water,Gold
125792,Volleyball Women's Volleyball,Silver
125943,Athletics Men's 4 x 400 metres Relay,Gold
126096,Gymnastics Men's Individual All-Around,Silver
126096,Gymnastics Men's Parallel Bars,Gold
126144,Rowing Men's Coxed Eights,Bronze
126248,Volleyball Men's Volleyball,Silver
126330,Rowing Men's Coxless Fours,Bronze
126574,Athletics Women's Javelin Throw,Silver
126862,Rowing Women's Double Sculls,Bronze
126975,Athletics Women's High Jump,Bronze
126983,"Wrestling Men's Middleweight, Greco-Roman",Gold
127216,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
127216,Swimming Women's 100 metres Butterfly,Bronze
127216,Swimming Women's 4 x 100 metres Medley Relay,Gold
127491,"Wrestling Women's Light-Heavyweight, Freestyle",Silver
127739,Handball Women's Handball,Gold
128033,Athletics Men's Javelin Throw,Bronze
128077,Taekwondo Women's Heavyweight,Bronze
128145,Swimming Men's 4 x 100 metres Medley Relay,Silver
128152,Volleyball Men's Volleyball,Gold
128156,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
128283,Athletics Men's Shot Put,Bronze
128565,Swimming Men's 200 metres Individual Medley,Bronze
128618,Gymnastics Women's Team All-Around,Bronze
128646,Athletics Men's 20 kilometres Walk,Gold
128773,Athletics Men's Decathlon,Bronze
129236,Swimming Men's 10 kilometres Open Water,Gold
129294,Volleyball Women's Volleyball,Gold
129382,Handball Men's Handball,Bronze
129402,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
129476,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
129476,Swimming Women's 4 x 100 metres Medley Relay,Gold
129601,Rowing Men's Quadruple Sculls,Gold
129898,Gymnastics Women's Balance Beam,Gold
129913,Basketball Women's Basketball,Gold
130071,Gymnastics Men's Individual All-Around,Bronze
130071,Gymnastics Men's Floor Exercise,Gold
130071,Gymnastics Men's Pommelled Horse,Gold
130186,"Wrestling Women's Heavyweight, Freestyle",Gold
130204,Handball Men's Handball,Bronze
130246,Handball Men's Handball,Bronze
130259,Rowing Men's Coxed Eights,Bronze
130298,Rowing Men's Coxed Eights,Bronze
130568,Athletics Women's 4 x 100 metres Relay,Silver
130645,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
130707,Athletics Women's 4 x 400 metres Relay,Silver
130734,"Athletics Men's 1,500 metres",Bronze
130864,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
130864,Swimming Women's 4 x 100 metres Medley Relay,Silver
130868,Rowing Women's Coxed Eights,Silver
130874,Gymnastics Men's Horizontal Bar,Bronze
131072,Rowing Men's Lightweight Coxless Fours,Silver
131193,Athletics Women's Hammer Throw,Gold
131339,Handball Men's Handball,Bronze
131451,Taekwondo Women's Flyweight,Bronze
131614,Swimming Women's 4 x 100 metres Medley Relay,Gold
131981,Basketball Women's Basketball,Silver
132065,Swimming Men's 100 metres Backstroke,Silver
132103,Volleyball Women's Volleyball,Gold
132276,Athletics Men's 4 x 100 metres Relay,Silver
132340,Gymnastics Men's Team All-Around,Gold
132415,Volleyball Women's Volleyball,Gold
132485,Volleyball Women's Volleyball,Gold
132603,"Wrestling Women's Flyweight, Freestyle",Bronze
132665,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
132729,"Wrestling Men's Middleweight, Freestyle",Gold
132765,Swimming Women's 100 metres Breaststroke,Silver
132765,Swimming Women's 200 metres Breaststroke,Silver
132776,Athletics Men's Javelin Throw,Silver
132813,Boxing Men's Welterweight,Gold
132899,Handball Women's Handball,Gold
132989,Boxing Women's Lightweight,Silver
133031,Boxing Men's Super-Heavyweight,Gold
133130,"Wrestling Women's Featherweight, Freestyle",Silver
133174,Gymnastics Men's Team All-Around,Bronze
133402,Volleyball Women's Volleyball,Gold
133577,Handball Women's Handball,Silver
133931,Gymnastics Men's Rings,Silver
134145,Volleyball Men's Volleyball,Silver
134431,Volleyball Women's Volleyball,Gold
134433,Gymnastics Men's Team All-Around,Bronze
134448,"Wrestling Women's Heavyweight, Freestyle",Bronze
134559,Athletics Women's Hammer Throw,Silver
134663,Taekwondo Men's Flyweight,Gold
134740,Taekwondo Women's Heavyweight,Gold
134759,Handball Women's Handball,Gold
134776,"Wrestling Women's Lightweight, Freestyle",Silver
134857,Volleyball Women's Volleyball,Gold
135132,Volleyball Women's Volleyball,Silver
135205,Boxing Men's Flyweight,Gold
