ID,Event,Medal
17687,Swimming Women's 4 x 100 metres Medley Relay,Silver
17755,Athletics Women's 4 x 100 metres Relay,Silver
18278,Swimming Women's 400 metres Freestyle,Silver
18278,Swimming Women's 800 metres Freestyle,Silver
18389,Rowing Women's Coxed Eights,Silver
18653,Athletics Women's Shot Put,Gold
18870,Rowing Men's Coxless Fours,Bronze
18976,Athletics Women's 100 metres Hurdles,Bronze
19044,Basketball Women's Basketball,Gold
19205,Basketball Women's Basketball,Bronze
19335,"Athletics Men's 1,500 metres",Gold
19586,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
19603,Swimming Men's 100 metres Freestyle,Gold
19603,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
19603,Swimming Men's 4 x 100 metres Medley Relay,Bronze
19643,"Wrestling Men's Welterweight, Freestyle",Bronze
19901,Basketball Women's Basketball,Gold
20133,"Athletics Men's 5,000 metres",Silver
20525,"Athletics Women's 5,000 metres",Gold
20525,"Athletics Women's 10,000 metres",Silver
20742,Athletics Women's 4 x 400 metres Relay,Bronze
21270,Volleyball Men's Volleyball,Bronze
21299,Handball Men's Handball,Gold
21439,Swimming Men's 200 metres Breaststroke,Bronze
21492,Rowing Women's Quadruple Sculls,Bronze
21695,Taekwondo Men's Welterweight,Gold
21700,Boxing Men's Welterweight,Bronze
21935,Basketball Men's Basketball,Bronze
21954,Athletics Men's Triple Jump,Silver
21990,Athletics Men's 400 metres Hurdles,Gold
22002,Athletics Men's 4 x 400 metres Relay,Gold
22143,"Athletics Women's 3,000 metres Steeplechase",Bronze
22249,Rowing Women's Coxed Eights,Bronze
22287,Rowing Women's Coxed Eights,Bronze
22299,Volleyball Men's Volleyball,Silver
22307,Rowing Men's Lightweight Coxless Fours,Bronze
22623,Boxing Men's Lightweight,Gold
22662,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
22865,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
22978,Athletics Men's 400 metres Hurdles,Bronze
23040,Swimming Men's 4 x 100 metres Medley Relay,Gold
23497,Basketball Men's Basketball,Gold
23585,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
23974,Athletics Men's Shot Put,Gold
23988,Rowing Women's Single Sculls,Gold
24028,Basketball Women's Basketball,Silver
24064,Basketball Women's Basketball,Bronze
24093,Swimming Men's 100 metres Butterfly,Silver
24313,"Wrestling Men's Welterweight, Greco-Roman",Bronze
24765,Basketball Women's Basketball,Bronze
24767,Basketball Women's Basketball,Bronze
25145,Handball Women's Handball,Silver
25807,Athletics Women's 4 x 400 metres Relay,Silver
26135,Athletics Men's 100 metres,Bronze
26135,Athletics Men's 200 metres,Silver
26135,Athletics Men's 4 x 100 metres Relay,Bronze
26718,Rowing Women's Coxed Eights,Silver
27357,Basketball Women's Basketball,Gold
27438,Handball Women's Handball,Silver
27488,Athletics Women's High Jump,Silver
27495,"Wrestling Men's Middleweight, Freestyle",Bronze
27572,Gymnastics Men's Team All-Around,Bronze
27601,Taekwondo Men's Featherweight,Silver
27743,Basketball Men's Basketball,Gold
27897,Swimming Men's 400 metres Freestyle,Bronze
27897,"Swimming Men's 1,500 metres Freestyle",Bronze
28068,Rowing Men's Coxless Pairs,Bronze
