date,close
2/1/2007,5.09E-03
3/1/2007,-2.61E-02
4/1/2007,4.85E-02
5/1/2007,5.20E-02
6/1/2007,-1.61E-02
7/1/2007,3.80E-02
8/1/2007,-6.39E-02
9/1/2007,6.65E-02
10/1/2007,2.48E-03
11/1/2007,-2.40E-02
12/1/2007,-1.06E-02
1/1/2008,-5.95E-02
2/1/2008,-3.56E-02
3/1/2008,1.32E-02
4/1/2008,2.09E-02
5/1/2008,-1.43E-03
6/1/2008,-4.27E-02
7/1/2008,-5.74E-02
8/1/2008,2.54E-02
9/1/2008,-6.91E-02
10/1/2008,-1.54E-01
11/1/2008,-8.03E-02
12/1/2008,5.81E-02
1/1/2009,-3.75E-02
2/1/2009,-1.65E-01
3/1/2009,4.24E-02
4/1/2009,6.45E-02
5/1/2009,5.68E-02
6/1/2009,3.90E-02
7/1/2009,-4.78E-02
8/1/2009,1.11E-01
9/1/2009,5.76E-02
10/1/2009,-7.83E-03
11/1/2009,7.74E-02
12/1/2009,-3.48E-03
1/1/2010,-2.24E-02
2/1/2010,1.29E-02
3/1/2010,5.09E-02
4/1/2010,1.55E-02
5/1/2010,-8.01E-02
6/1/2010,-3.58E-02
7/1/2010,7.81E-02
8/1/2010,-3.45E-02
9/1/2010,6.74E-02
10/1/2010,2.38E-02
11/1/2010,-2.38E-03
12/1/2010,3.98E-02
1/1/2011,3.11E-02
2/1/2011,1.43E-02
3/1/2011,-2.14E-03
4/1/2011,3.24E-02
5/1/2011,1.20E-03
6/1/2011,-2.19E-03
7/1/2011,2.63E-03
8/1/2011,-6.70E-02
9/1/2011,-3.64E-02
10/1/2011,2.57E-02
11/1/2011,1.36E-03
12/1/2011,4.59E-02
1/1/2012,5.26E-02
2/1/2012,1.77E-02
3/1/2012,2.59E-02
4/1/2012,-9.18E-03
5/1/2012,-5.33E-02
6/1/2012,3.48E-02
7/1/2012,-1.40E-04
8/1/2012,3.50E-02
9/1/2012,2.43E-02
10/1/2012,-1.83E-02
11/1/2012,-2.70E-02
12/1/2012,1.19E-02
1/1/2013,2.80E-02
2/1/2013,3.65E-02
3/1/2013,2.35E-02
4/1/2013,3.74E-02
5/1/2013,1.69E-02
6/1/2013,-2.25E-04
7/1/2013,2.56E-02
8/1/2013,-4.25E-02
9/1/2013,2.81E-02
10/1/2013,7.58E-03
11/1/2013,3.27E-02
12/1/2013,1.84E-02
1/1/2014,1.59E-02
2/1/2014,-1.49E-02
3/1/2014,1.48E-02
4/1/2014,7.11E-03
5/1/2014,1.10E-02
6/1/2014,6.54E-03
7/1/2014,-9.93E-01
8/1/2014,1.45E+02
9/1/2014,-3.25E-03
10/1/2014,2.04E-02
11/1/2014,2.52E-02
12/1/2014,-2.86E-04
1/1/2015,-3.69E-02
2/1/2015,5.64E-02
3/1/2015,-1.97E-02
4/1/2015,1.48E-02
5/1/2015,-1.53E-03
6/1/2015,-2.17E-02
7/1/2015,6.38E-03
8/1/2015,-6.79E-02
9/1/2015,-2.58E-02
10/1/2015,9.70E-02
11/1/2015,3.19E-03
12/1/2015,-1.66E-02
1/1/2016,-5.50E-02
2/1/2016,3.05E-03
3/1/2016,7.08E-02
4/1/2016,5.00E-03
5/1/2016,7.65E-04
6/1/2016,8.03E-03
7/1/2016,2.80E-02
8/1/2016,-1.70E-03
9/1/2016,-5.04E-03
10/1/2016,-9.06E-03
11/1/2016,5.41E-02
12/1/2016,3.34E-02
1/1/2017,5.14E-03
2/1/2017,4.77E-02
3/1/2017,-7.16E-03
4/1/2017,1.34E-02
5/1/2017,3.26E-03
6/1/2017,1.62E-02
7/1/2017,2.54E-02
8/1/2017,2.60E-03
9/1/2017,2.08E-02
10/1/2017,4.34E-02
11/1/2017,3.83E-02
12/1/2017,1.84E-02
1/1/2018,5.79E-02
2/1/2018,-4.28E-02
3/1/2018,-3.47E-02
4/1/2018,6.21E-05
5/1/2018,1.05E-02
6/1/2018,-5.91E-03
7/1/2018,4.71E-02
8/1/2018,2.16E-02
9/1/2018,1.90E-02
10/1/2018,-5.07E-02
11/1/2018,1.68E-02
12/1/2018,-8.66E-02
1/1/2019,7.17E-02
2/1/2019,3.67E-02
3/1/2019,4.90E-04
4/1/2019,2.56E-02
5/1/2019,-6.69E-02
6/1/2019,7.81E-02
7/1/2019,NaN
8/1/2019,NaN
9/1/2019,NaN
10/1/2019,6.78E-03
11/1/2019,NaN
12/1/2019,NaN
1/1/2020,NaN
2/1/2020,-1.05E-02
3/1/2020,-2.16E-01
4/1/2020,3.48E-02
