date,unemployment_rate
6/1/2013,7.5
1/1/2014,6.7
6/1/2014,6.1
1/1/2015,5.6
6/1/2015,5.3
1/1/2016,5
6/1/2016,4.9
1/1/2017,4.7
6/1/2017,4.3
1/1/2018,4.1
6/1/2018,4
1/1/2019,3.9
6/1/2019,3.7
1/1/2020,3.5
