,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
81,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4799,2,1981,Male,29,1/7/2020
82,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,3,1980,Male,26,4/22/2018
83,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2568,2,1990,Male,27,3/16/2019
84,79 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2684,1,1987,Male,29,5/10/2023
85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,2,1987,Male,27,1/20/2018
86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,2,1987,Male,27,8/29/2017
87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,2,1985,Male,27,1/18/2019
88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,2,1983,Female,26,7/9/2017
89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,2,2000,Female,26,11/20/2017
90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,2,1986,Female,29,6/30/2018
91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,3,1988,Male,26,12/29/2019
92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,1,1975,Male,26,5/10/2023
93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,1,1999,Female,26,12/22/2019
94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,1,1991,Female,29,4/23/2019
95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,1,2000,Female,29,10/9/2019
96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,2,1985,Male,29,11/30/2019
97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,1,1988,Male,26,4/10/2017
98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,1,1989,Female,26,5/10/2023
99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,1,1994,Male,26,5/10/2023
100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,2,1987,Male,29,7/30/2019
101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,2,1990,Male,26,4/10/2018
102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,2,1990,Male,29,5/10/2023
103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,3,1987,Male,26,12/26/2017
104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,2,1988,Male,26,5/10/2023
105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,2,1993,Male,27,5/10/2023
106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,2,1998,Male,26,11/3/2017
107,5 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,593,2,2000,Female,27,5/10/2023
108,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,1514,2,2000,Male,27,5/10/2023
109,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5224,2,1990,Female,26,5/10/2023
110,8 minutes,5,Powell St BART Station (Market St at 5th St),55,Webster St at Grove St,5528,2,1996,Male,26,11/20/2017
111,9 minutes,5,Powell St BART Station (Market St at 5th St),76,McCoppin St at Valencia St,4574,2,1977,Male,26,5/10/2023
112,6 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,2152,2,2000,Male,27,6/29/2017
113,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,5070,2,1987,Male,29,5/10/2023
114,19 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,3491,3,1961,Male,27,1/16/2018
115,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,223,1,1988,Male,27,5/10/2023
116,3 minutes,3,Powell St BART Station (Market St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2568,2,1988,Male,27,8/26/2019
117,8 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,5474,2,1997,Female,27,12/14/2017
118,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,5245,1,1989,Male,26,5/26/2018
119,19 minutes,16,Steuart St at Market St,85,Church St at Duboce Ave,4814,1,1970,Male,27,10/25/2018
120,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,5546,2,1977,Female,26,3/5/2017
121,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),72,Page St at Scott St,1122,3,1979,Male,29,5/10/2023
122,27 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,5294,1,1983,Female,27,8/10/2019
123,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),23,The Embarcadero at Steuart St,4924,2,1992,Male,27,7/24/2017
124,16 minutes,22,Howard St at Beale St,125,20th St at Bryant St,4942,3,1958,Male,26,8/18/2017
125,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),74,Laguna St at Hayes St,5253,1,1981,Male,26,6/4/2017
126,10 minutes,81,Berry St at 4th St,321,5th St at Folsom,4832,1,1996,Male,29,10/14/2019
127,25 minutes,3,Powell St BART Station (Market St at 4th St),134,Valencia St at 24th St,2738,2,1986,Female,26,1/27/2020
