,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
196,Mercer University,158000,5,1217,0.3475,0.5411,0.668787,2156,8118,0.6734375,20457,67164.94,20423
197,Morehouse College,158200,5,978,0.4931,0.7065,0.759615,2970,7247,0.518867925,21691,61675.05,29796
198,Oglethorpe University,158600,5,1140,0.394,0.7377,0.784682,1169,6568,0.705583756,16000,73815.08,19936
199,Paine College,158700,5,749,0.7993,0.876,0.306332,163,4880,0.275510204,14250,51038.61,18387
200,Piedmont College,158800,5,995,0.4737,0.6998,0.570044,1026,6172,0.6,15591.5,58219.12,16424
201,Reinhardt University,158900,5,953,0.4303,0.5855,0.907599,1108,5448,PrivacySuppressed,10150,75577.26,20310
202,Savannah College of Art and Design,2141500,5,1064,0.2471,0.4754,0.699116,4249,8676,0.679523539,21000,71588.69,36902
203,Savannah State University,159000,5,847,0.745,0.8341,0.826441,2070,5428,0.321814255,14250,54220.88,11009
204,Shorter University,159100,5,969,0.4743,0.6662,0.62644,1889,5144,0.6,21517,65365.08,18864
205,Spelman College,159400,5,1015,0.4815,0.7096,0.483271,1888,7678,0.678240741,25250,63157.84,34232
206,Toccoa Falls College,159600,5,997,0.4859,0.6109,0.454545,900,5182,0.880733945,13875,59357.86,18783
207,Truett McConnell University,159700,5,938,0.2183,0.258,0.91134,2033,3837,0.709090909,12000,62186.38,17464
208,Valdosta State University,159900,5,993,0.4708,0.6521,0.504313,7482,6073,0.658204896,16500,57353.47,13990
209,University of West Georgia,160100,5,945,0.4941,0.6629,0.568799,7109,6125,0.622903412,13525,66454.08,15365
210,Young Harris College,160400,5,974,0.39,0.6002,0.521953,620,6079,0.852941177,12000,65588.3,16074
211,Chaminade University of Honolulu,160500,8,966,0.436,0.4049,0.820312,2038,7789,0.686619718,12917,72476.63,20543
212,University of Hawaii at Hilo,161100,8,926,0.4839,0.459,0.712524,2646,9277,0.743434343,12350,59308.27,11029
213,University of Hawaii at Manoa,161000,8,1067,0.3105,0.3788,0.814174,11721,11189,0.849573691,13750,71646.27,13441
214,Boise Bible College,2234500,7,1045,0.659,0.4566,0.981481,128,4224,0.617647059,17395.5,55318.91,21477
215,Boise State University,161600,7,1046,0.3312,0.4379,0.795733,14756,7272,0.721539722,15250,58298.66,13718
216,University of Idaho,162600,7,1061,0.3925,0.5263,0.720541,8759,8410,0.80159787,16985,54125.14,13709
217,Lewis-Clark State College,162100,7,939,0.3529,0.4389,0.988827,2693,5742,0.831683168,11726,49266.88,14916
218,Northwest Nazarene University,162400,7,1056,0.3543,0.6181,0.562618,1110,5434,0.894736842,19500,59470.41,19432
219,Brigham Young University-Idaho,162500,7,1040,0.3968,0.2646,0.995885,8949,8444,0.866557511,6604.5,58959.59,8667
220,School of the Art Institute of Chicago,175300,3,1155,0.1883,0.415,0.664846,2053,9648,0.755447942,19500,72806.39,39613
221,Aurora University,163400,3,990,0.4156,0.6994,0.772423,1316,7505,0.80445151,15775.5,77796.79,17494
222,Blackburn College,163900,3,1005,0.5675,0.8137,0.554731,540,5872,0.788819876,12000,56165.33,13721
223,Bradley University,164100,3,1163,0.2352,0.6611,0.65676,5116,8299,0.883677298,24031,74072.54,26533
224,Chicago State University,169400,3,875,0.7078,0.9228,0.211797,5060,7392,0.432126697,20250,51518.57,11689
225,University of Chicago,177400,3,1506,0.1114,0.2543,0.083841,4008,17446,0.929501085,13170,74573.19,25883
